ablation_type,0-4,5-9,10-14,15-19
mean_over_tokens,0.22999999999999998,0.23500000000000001,0.22800000000000004,0.22800000000000004
mean_per_token,0.229,0.23500000000000001,0.22800000000000004,0.22999999999999998
zero,0.238,0.225,0.221,0.22800000000000004
