ablation_type,0-4,5-9,10-14,15-19
mean_over_tokens,0.202,0.20099999999999998,0.23199999999999998,0.236
mean_per_token,0.219,0.20400000000000001,0.21800000000000003,0.22400000000000003
zero,0.158,0.21200000000000002,0.223,0.219
