ablation_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mean_over_tokens,0.21,0.245,0.23,0.165,0.2,0.175,0.2,0.195,0.215,0.235,0.235,0.225,0.23,0.235,0.225,0.22,0.22,0.225,0.22,0.215
mean_per_token,0.21,0.215,0.23,0.155,0.185,0.17,0.2,0.195,0.24,0.225,0.245,0.215,0.22,0.22,0.23,0.225,0.22,0.225,0.22,0.225
zero,0.2,0.23,0.195,0.16,0.215,0.165,0.24,0.215,0.235,0.225,0.23,0.23,0.225,0.24,0.225,0.225,0.22,0.22,0.225,0.25
