ablation_type,0-4,5-9,10-14,15-19
mean_over_tokens,0.162,0.23399999999999999,0.231,0.23199999999999998
mean_per_token,0.21000000000000002,0.219,0.233,0.219
zero,0.15,0.23199999999999998,0.22799999999999998,0.22400000000000003
