ablation_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mean_over_tokens,0.015,0.165,0.16,0.24,0.23,0.245,0.225,0.225,0.235,0.24,0.235,0.235,0.23,0.205,0.25,0.22,0.23,0.255,0.22,0.235
mean_per_token,0.19,0.215,0.195,0.21,0.24,0.235,0.22,0.2,0.22,0.22,0.215,0.25,0.235,0.22,0.245,0.215,0.21,0.22,0.235,0.215
zero,0.005,0.16,0.18,0.205,0.2,0.25,0.22,0.2,0.24,0.25,0.235,0.225,0.235,0.21,0.235,0.205,0.225,0.215,0.25,0.225
