ablation_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mean_over_tokens,0.235,0.19,0.19,0.205,0.19,0.21,0.175,0.205,0.215,0.2,0.225,0.24,0.255,0.22,0.22,0.245,0.24,0.215,0.255,0.225
mean_per_token,0.205,0.255,0.205,0.23,0.2,0.185,0.185,0.215,0.195,0.24,0.215,0.21,0.23,0.21,0.225,0.24,0.225,0.22,0.22,0.215
zero,0.0,0.195,0.19,0.195,0.21,0.195,0.19,0.21,0.205,0.26,0.205,0.23,0.23,0.225,0.225,0.23,0.235,0.205,0.2,0.225
