ablation_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mean_over_tokens,0.21,0.23,0.23,0.215,0.215,0.22,0.24,0.24,0.23,0.23,0.225,0.225,0.23,0.235,0.22,0.235,0.22,0.225,0.225,0.225
mean_per_token,0.19,0.225,0.24,0.25,0.25,0.24,0.225,0.24,0.24,0.24,0.23,0.225,0.225,0.23,0.225,0.225,0.225,0.225,0.23,0.225
zero,0.215,0.22,0.25,0.225,0.215,0.245,0.235,0.23,0.23,0.21,0.22,0.21,0.235,0.235,0.22,0.22,0.22,0.225,0.235,0.235
