ablation_type,0-4,5-9,10-14,15-19
mean_over_tokens,0.22000000000000003,0.23199999999999998,0.227,0.22599999999999998
mean_per_token,0.231,0.23700000000000002,0.227,0.22600000000000003
zero,0.225,0.22999999999999998,0.22399999999999998,0.227
