timestep,position,component,gradient_type,kernel_size,epoch_0_mean_loss,epoch_0_var_loss,epoch_0_max_loss,epoch_1_mean_loss,epoch_1_var_loss,epoch_1_max_loss,epoch_2_mean_loss,epoch_2_var_loss,epoch_2_max_loss,epoch_3_mean_loss,epoch_3_var_loss,epoch_3_max_loss,epoch_4_mean_loss,epoch_4_var_loss,epoch_4_max_loss,epoch_5_mean_loss,epoch_5_var_loss,epoch_5_max_loss,epoch_6_mean_loss,epoch_6_var_loss,epoch_6_max_loss,epoch_7_mean_loss,epoch_7_var_loss,epoch_7_max_loss,epoch_8_mean_loss,epoch_8_var_loss,epoch_8_max_loss,epoch_9_mean_loss,epoch_9_var_loss,epoch_9_max_loss,epoch_10_mean_loss,epoch_10_var_loss,epoch_10_max_loss,epoch_11_mean_loss,epoch_11_var_loss,epoch_11_max_loss,epoch_12_mean_loss,epoch_12_var_loss,epoch_12_max_loss,epoch_13_mean_loss,epoch_13_var_loss,epoch_13_max_loss,epoch_14_mean_loss,epoch_14_var_loss,epoch_14_max_loss,epoch_15_mean_loss,epoch_15_var_loss,epoch_15_max_loss,epoch_16_mean_loss,epoch_16_var_loss,epoch_16_max_loss,epoch_17_mean_loss,epoch_17_var_loss,epoch_17_max_loss,epoch_18_mean_loss,epoch_18_var_loss,epoch_18_max_loss,epoch_19_mean_loss,epoch_19_var_loss,epoch_19_max_loss
999,6,self_attn_after_gate,Vertical,1,0.16043083878263595,0.006811460894435942,0.46447765827178955,0.07114425023633336,0.0002899182725636155,0.12601545453071594,0.04852866694804222,9.109488994092452e-05,0.07259240001440048,0.03744992288568663,4.001640256344936e-05,0.05554470792412758,0.030973181039804502,2.172072824974845e-05,0.04589948058128357,0.02675592993933057,1.3450515643446744e-05,0.038913533091545105,0.02383805908972309,9.117405520928612e-06,0.03367368131875992,0.021735508940995685,6.643893532131057e-06,0.029689010232686996,0.02016873261521733,5.158941719751763e-06,0.02663595601916313,0.018966039553994223,4.232844659895272e-06,0.02523166872560978,0.018018743259802697,3.632753161763936e-06,0.02403973788022995,0.01725637081951376,3.2266559178006495e-06,0.023002345114946365,0.016631937556205286,2.9381652251297668e-06,0.022085562348365784,0.016112998600990053,2.722882950523432e-06,0.02126787230372429,0.01567636686007655,2.5551135228322116e-06,0.0205346941947937,0.015305025547388055,2.419871394961826e-06,0.01987559348344803,0.014986228493470994,2.308138518491701e-06,0.019282611086964607,0.01471025947599657,2.214164167697681e-06,0.018749140202999115,0.014469592787680171,2.134006628814108e-06,0.01826934516429901,0.014258311632724981,2.064785081604969e-06,0.017940795049071312
999,6,self_attn_after_gate,Horizontal,1,0.8524713055008933,0.9006073734330889,4.388589382171631,0.18034102803184873,0.0013867555485359289,0.2843405604362488,0.11725366363922755,0.00037398844227437995,0.17375795543193817,0.08936407830980089,0.00017273187395553015,0.1233825832605362,0.0739588774740696,0.00010210228041475388,0.09602655470371246,0.06418674900418236,6.80154936824918e-05,0.08407618850469589,0.057363991758653095,4.865236480097136e-05,0.07618370652198792,0.05227141064547357,3.6507842379263527e-05,0.06987659633159637,0.048294325551343345,2.8390437580304552e-05,0.06465375423431396,0.04508903474798278,2.2742849499476494e-05,0.060230553150177,0.04244410548181761,1.870679786677232e-05,0.056425899267196655,0.04022035972466544,1.5759944055358928e-05,0.053116220980882645,0.0383222077100996,1.3562589486772318e-05,0.05021283030509949,0.036682096916058705,1.1886165968835706e-05,0.047649532556533813,0.03525110963909399,1.0575186148173635e-05,0.045375362038612366,0.033992909072410496,9.523914020582884e-06,0.043350160121917725,0.0328797661655006,8.660745744795941e-06,0.04154188930988312,0.03188995070873745,7.937133704618256e-06,0.039924535900354385,0.031006008268348755,7.31988866719483e-06,0.03847667947411537,0.030213621104993517,6.785878850569242e-06,0.037180207669734955
999,6,self_attn_after_gate,Gaussian,1,0.31804476820287253,0.06143830050892783,1.1860170364379883,0.08120454256496733,0.000473875905598805,0.16041356325149536,0.05030319263182935,0.0001259284008552155,0.08783407509326935,0.036986357488092925,4.890711110251478e-05,0.05903736874461174,0.029642957425306714,2.211069016249029e-05,0.04400999844074249,0.02508523536934739,1.1566777904887759e-05,0.03505556285381317,0.022010903687231125,6.910373742575637e-06,0.029245000332593918,0.019792681086867575,4.625836218424693e-06,0.025245606899261475,0.018109142425514403,3.38542175261062e-06,0.022365998476743698,0.016784545315045214,2.6379910339453175e-06,0.02021089941263199,0.015715359577110836,2.1425935029369167e-06,0.01854337379336357,0.014836140302202058,1.7891922801008805e-06,0.017344627529382706,0.01410285887559728,1.5242073961154198e-06,0.016697432845830917,0.013484293299298438,1.3189817265113542e-06,0.016100436449050903,0.012957346256053636,1.1564420071013016e-06,0.015548983588814735,0.01250440605162155,1.0254301662844588e-06,0.015039080753922462,0.012111792414789163,9.182103230133349e-07,0.01456717774271965,0.011768768881521528,8.292582402307704e-07,0.014130272902548313,0.011466848530939646,7.545522880104257e-07,0.013725820928812027,0.011199287050181911,6.911281614411373e-07,0.013351626694202423
999,6,cross_attn,Vertical,1,0.8246161469391414,0.09449487094501176,1.8447321653366089,0.33642952427977607,0.003980309661718467,0.5763270258903503,0.22018902618733663,0.0011801002490718394,0.35763081908226013,0.1661662038356539,0.0004899297378350174,0.24200554192066193,0.135533349499816,0.0002531860866924327,0.17796292901039124,0.1164176171970746,0.00015550961694884956,0.14389845728874207,0.1036523889218058,0.00010738895698531452,0.12680934369564056,0.09465183755235067,8.024498733317138e-05,0.11665042489767075,0.08802567718047945,6.360914506732831e-05,0.10880240797996521,0.08298228290818986,5.2839215739614026e-05,0.10256476700305939,0.07904623200496037,4.551044106995562e-05,0.09748971462249756,0.0759164991359862,4.023937745468837e-05,0.0932627022266388,0.07339147200423574,3.6228270242970105e-05,0.08965696394443512,0.07132890672674255,3.303803316901694e-05,0.0865165963768959,0.0696248889324211,3.043915244861126e-05,0.08374433219432831,0.06820264707008998,2.8308562559908082e-05,0.08128537237644196,0.06700548919893447,2.6567095053267735e-05,0.0791090652346611,0.06599141006904935,2.5149736357368685e-05,0.07747834920883179,0.06512882146570417,2.399619440612099e-05,0.07616177201271057,0.06439345850357933,2.3051029190051086e-05,0.07500535249710083
999,6,cross_attn,Horizontal,1,1.1231018309555356,0.46088564402293547,4.019242286682129,0.42237864931424457,0.006709214079196255,0.6481412649154663,0.28744970900671823,0.0015762177011217492,0.3767143487930298,0.2253663596652803,0.0006521344113691259,0.29399871826171875,0.18945440579028355,0.00034371485456701124,0.23912306129932404,0.16596005833338176,0.00020051570330260383,0.20151560008525848,0.14956150050201114,0.00012346704715180009,0.17513132095336914,0.13767136798964608,7.911479934363885e-05,0.15623752772808075,0.12880957256706935,5.254559604947701e-05,0.14245250821113586,0.12205448805812806,3.617592550899962e-05,0.13286834955215454,0.11680262263805147,2.587507081601909e-05,0.12654289603233337,0.11264555440062568,1.9266429181379165e-05,0.12142939120531082,0.1092992556237039,1.4900682655542932e-05,0.11713960766792297,0.1065609482309175,1.1871421905611668e-05,0.11423669755458832,0.10428328138022196,9.63900846916446e-06,0.1117444559931755,0.10235928744077682,7.910530812496113e-06,0.10953803360462189,0.10071209699861587,6.535526925290115e-06,0.10755059123039246,0.0992863541321149,5.4321330964052365e-06,0.10575135797262192,0.09804126904124305,4.547628466679173e-06,0.10412593185901642,0.09694571497421416,3.842067578760051e-06,0.10266377031803131
999,6,cross_attn,Gaussian,1,0.8441999176191906,0.1122603755197406,1.8656136989593506,0.31606664189270567,0.0053671692985840375,0.5111020803451538,0.1935510334987489,0.0013959441963850173,0.29053938388824463,0.14182817935943604,0.0005440678566941327,0.20184431970119476,0.11400043432201658,0.0002788376555535848,0.15322977304458618,0.0966861867715442,0.00016972074590691197,0.12413963675498962,0.08486849956569217,0.00011380482624667002,0.10703547298908234,0.07628058027180415,8.087556125955486e-05,0.09580665081739426,0.06976549806339401,5.9994022319755306e-05,0.0873318463563919,0.06467138289932221,4.6213803698771176e-05,0.08029886335134506,0.06059916553989289,3.6901799671118384e-05,0.0745011419057846,0.05728798939122094,3.050428728380113e-05,0.06974069029092789,0.0545585501406874,2.6044943541792264e-05,0.0658351480960846,0.052282841018741096,2.2888938442695337e-05,0.0626247227191925,0.050366750371361534,2.0616386642483015e-05,0.059974364936351776,0.0487395388975976,1.8946846316158163e-05,0.05777290463447571,0.047347225899261144,1.7692171163268027e-05,0.055930864065885544,0.04614831737819172,1.672706224756785e-05,0.05460739508271217,0.04511075650179197,1.596949758242334e-05,0.0538620762526989,0.044209587372957715,1.5366344535046765e-05,0.053199488669633865
999,6,mix_ffn_after_gate,Vertical,1,0.7515510022640228,0.22436428010530146,2.5280332565307617,0.2479438933115157,0.0028519900955597186,0.3878106474876404,0.14272564980718824,0.0004892436957218808,0.19783104956150055,0.09510386865290385,0.00013908026693432613,0.12379039824008942,0.06893543857667181,5.066769126619452e-05,0.0848737508058548,0.053017936410411956,2.1963809488652487e-05,0.062014054507017136,0.04269868643983962,1.1120057030490077e-05,0.049614597111940384,0.03569336883014157,6.487344298427401e-06,0.041255466639995575,0.030757437120117838,4.276134325949191e-06,0.035392291843891144,0.027167104155061735,3.1084420860851795e-06,0.031151317059993744,0.024481626168366463,2.4341706487922835e-06,0.027995988726615906,0.02242252292732398,2.0131395873892705e-06,0.02558351680636406,0.020808310055780033,1.7306581529235853e-06,0.023689666762948036,0.019517821274579517,1.5281154182178277e-06,0.022270677611231804,0.018468924635459506,1.3749767722689319e-06,0.021143004298210144,0.017605381175166086,1.2554311415871453e-06,0.020182890817523003,0.016887930014895067,1.1609271399110926e-06,0.01935640722513199,0.01628812788320439,1.0860755870970212e-06,0.01869821548461914,0.01578445156060514,1.0268085330251761e-06,0.0181446373462677,0.015360019672366361,9.797157217219565e-07,0.017678724601864815
999,6,mix_ffn_after_gate,Horizontal,1,0.9150392966611045,0.3965236489084715,3.260671615600586,0.2862430635898832,0.003894639701774628,0.4476630687713623,0.16608307167651162,0.0006334605041404302,0.22570648789405823,0.11212202256161069,0.0001690238228158296,0.1459648162126541,0.08277470074475758,6.288717627138144e-05,0.10333496332168579,0.06505089418755637,2.9810300337922024e-05,0.0779433399438858,0.05350939320429923,1.6642190546418858e-05,0.06258857995271683,0.04556937155032915,1.0453698896139134e-05,0.05323939397931099,0.03987835584178803,7.205072787224781e-06,0.04640134423971176,0.03566826129006961,5.357526074071133e-06,0.041244491934776306,0.03247497281030057,4.23887787704257e-06,0.03746591880917549,0.030003710901216854,3.525283355849874e-06,0.03468742221593857,0.02805936679480568,3.0486243330010893e-06,0.032456859946250916,0.02650830282696656,2.7165136196530786e-06,0.030645381659269333,0.025256344338967687,2.4759395120223685e-06,0.029159491881728172,0.02423551929966798,2.295499237055085e-06,0.027929678559303284,0.02339573290258173,2.156184844990888e-06,0.02701382339000702,0.02269937831258017,2.0462525423399065e-06,0.0262680035084486,0.02211780207497733,1.9581586300733177e-06,0.02563648298382759,0.021628943345849475,1.8867001686144204e-06,0.025097183883190155
999,6,mix_ffn_after_gate,Gaussian,1,0.5655842546432738,0.07106424306550808,1.4991209506988525,0.18934440967582522,0.0017786522066762663,0.3077844977378845,0.10063090400090294,0.0002727045890074279,0.15442292392253876,0.06328308629611182,7.405813404748924e-05,0.09339560568332672,0.043980116231573954,2.8371754259241527e-05,0.06252032518386841,0.03270340607398086,1.3124510751867634e-05,0.0449228435754776,0.02557197023951818,6.833945825345198e-06,0.034111808985471725,0.0208027936991245,3.894417448608134e-06,0.027089282870292664,0.017476979022224743,2.393048012944705e-06,0.022313755005598068,0.015082035671978716,1.569767603195027e-06,0.018936678767204285,0.01331381858991725,1.0910392653444661e-06,0.016468534246087074,0.01198215748641699,7.983727345551087e-07,0.014615577645599842,0.010962914512862288,6.114771632792057e-07,0.013194363564252853,0.010172126119926808,4.874810133245097e-07,0.012085635215044022,0.009551370545985207,4.0247316325743043e-07,0.01120882760733366,0.009059212835771697,3.426354492638065e-07,0.010507379658520222,0.008665926296204801,2.9964682968935517e-07,0.00999379437416792,0.008349858808316409,2.682063501489799e-07,0.009637816809117794,0.00809483119981393,2.4480728295117964e-07,0.009346138685941696,0.007888420011907343,2.2714000905311012e-07,0.009104011580348015
999,7,self_attn_after_gate,Vertical,1,0.4022256098096333,0.06262378824221096,1.4501712322235107,0.13144156301305407,0.0008706497065765239,0.2079213261604309,0.08146392069165669,0.0002694111810226617,0.12613433599472046,0.06005921356734775,0.00011942359787633318,0.08926892280578613,0.048084635228391674,6.407251449151851e-05,0.06833844631910324,0.04034875827057967,3.998547773006803e-05,0.053814541548490524,0.03496664800932483,2.7631142389743825e-05,0.0456981360912323,0.031040639099147584,2.037765283921119e-05,0.040733788162469864,0.028072451374360492,1.5708713227980357e-05,0.036900583654642105,0.025762210910518963,1.2528151215248623e-05,0.033851370215415955,0.023920144501423077,1.028765349572991e-05,0.03136839717626572,0.022421601095369885,8.677803231735207e-06,0.02930399775505066,0.02118210317123504,7.506154335114998e-06,0.02755574882030487,0.02014269721176889,6.644133439457598e-06,0.0260530523955822,0.019261007463293418,6.00181082868432e-06,0.024747151881456375,0.018505715691144505,5.515081212030578e-06,0.023603562265634537,0.017853111753033266,5.1381757323936686e-06,0.02259674295783043,0.01728492836275744,4.838759926517441e-06,0.02180539071559906,0.016786893504479573,4.594282317306761e-06,0.021199321374297142,0.016347721248628603,4.389161348178239e-06,0.020667925477027893
