gradient_type,layer,component,mae,spearman
Gaussian,layer_00,cross_attn,0.293,0.002
,layer_00,mix_ffn,0.217,0.282
,layer_00,self_attn,2.123,0.005
,layer_05,cross_attn,0.555,0.488
,layer_05,mix_ffn,0.263,0.760
,layer_05,self_attn,6.676,0.341
,layer_10,cross_attn,0.915,0.224
,layer_10,mix_ffn,1.666,0.114
,layer_10,self_attn,10.288,0.200
,layer_15,cross_attn,0.249,0.219
,layer_15,mix_ffn,1.846,0.275
,layer_15,self_attn,6.821,0.070
,layer_19,cross_attn,0.246,0.011
,layer_19,mix_ffn,3.262,0.737
,layer_19,self_attn,12236.986,0.367
Horizontal,layer_00,cross_attn,0.294,0.003
,layer_00,mix_ffn,0.238,0.189
,layer_00,self_attn,2.374,0.001
,layer_05,cross_attn,0.415,0.405
,layer_05,mix_ffn,2.525,0.105
,layer_05,self_attn,4.260,0.182
,layer_10,cross_attn,0.551,0.117
,layer_10,mix_ffn,2.104,0.251
,layer_10,self_attn,4.600,0.064
,layer_15,cross_attn,0.303,0.027
,layer_15,mix_ffn,0.431,0.625
,layer_15,self_attn,9.656,0.063
,layer_19,cross_attn,0.331,0.005
,layer_19,mix_ffn,1.541,0.549
,layer_19,self_attn,1988.913,-0.000
Vertical,layer_00,cross_attn,0.309,0.002
,layer_00,mix_ffn,0.259,0.183
,layer_00,self_attn,3.482,0.002
,layer_05,cross_attn,0.561,0.493
,layer_05,mix_ffn,0.254,0.749
,layer_05,self_attn,6.033,-0.019
,layer_10,cross_attn,0.250,0.590
,layer_10,mix_ffn,1.703,0.146
,layer_10,self_attn,10.352,-0.207
,layer_15,cross_attn,0.299,0.070
,layer_15,mix_ffn,0.178,0.875
,layer_15,self_attn,12.686,0.136
,layer_19,cross_attn,0.274,0.012
,layer_19,mix_ffn,1.039,0.637
,layer_19,self_attn,2388.860,-0.259
